idTweeter,lastSuscribings
1470955425084235780,1;2;3;4;5;6
1051852534518824960,1;2;3;4;5;6
985407854822617088,1;2;3;4;5;6
387377745,1;2;3;4;5;6
159227459,1;2;3;4;5;6
321985533,1;2;3;4;5;6
